schoolid,schoolname,CalendarYear,SchoolType,TermType,FTResTuition,PTResTuition,FTNonResTuition,PTNonResTuition,FTResTermTuition,PTResTermTuition,FTNonResTermTuition,PTNonResTermTuition,TuitionGuarInd,OnCampusCosts,OffCampusCosts,AtHomeCosts
00175800,Southern Illinois University-Carbondale,2023,PUB,SEM,21555,,21555,,10778,,10778,,N,15798,16379,4088
00177400,University of Chicago,2023,PRI,QTR,77952,,77952,,25984,,25984,,N,34707,34707,34707
00177500,University of Illinois,2023,PUB,SEM,39852,,49852,,19926,,24926,,Y,19234,19234,19234
00177608,University of Illinois Chicago School of Law,2023,PUB,SEM,41893,,51893,,20947,,25947,,N,21826,21826,21826
00180900,Indiana University - Bloomington,2023,PUB,SEM,38428,,59478,,19214,,29739,,Y,24410,24410,24410
00181300,Indiana University - Indianapolis,2023,PUB,SEM,32535,24884,52599,39932,16268,12442,26300,19966,N,21900,21900,21900
00184000,University of Notre Dame,2023,PRI,SEM,68554,,68554,,34277,,34277,,N,24190,24190,11140
00186000,Drake University,2023,PRI,SEM,48410,,48410,,24205,,24205,,N,20194,20792,10793
00189200,University of Iowa,2023,PUB,SEM,31426,,51956,,15713,,25978,,N,22776,22776,10388
00194800,University of Kansas,2023,PUB,SEM,23402,,29739,,11701,,14870,,N,19198,19198,19198
00194900,Washburn University,2023,PUB,SEM,24584,,37240,,12292,,18620,,N,16125,16125,16125
00198903,University of Kentucky,2023,PUB,SEM,26232,,51380,,13116,,25690,,N,23108,20526,10212
00199900,University of Louisville,2023,PUB,SEM,25696,,30696,,12848,,15348,,N,24920,24920,24920
00201000,Louisiana State University,2023,PUB,SEM,23665,,39105,,11833,,19553,,N,24036,26022,21454
00201600,Loyola University-New Orleans,2023,PRI,SEM,52350,38840,52350,38840,26175,19420,26175,19420,N,25671,25671,25671
00202500,Southern University,2023,PUB,SEM,20182,18014,33782,31614,10091,9007,16891,15807,N,24182,24182,24182
00202900,Tulane University,2023,PRI,SEM,67780,,67780,,33890,,33890,,N,27660,27660,10002
00205400,University of Maine,2023,PUB,SEM,26940,,38762,,13470,,19381,,N,21104,21104,11626
00210200,University of Baltimore,2023,PUB,SEM,34980,26084,51014,36038,17490,13042,25507,18019,N,25430,25430,12710
00210400,University of Maryland,2023,PUB,SEM,36999,24964,53655,35806,18500,12482,26828,17903,N,25163,29842,18592
00212801,Boston College,2023,PRI,SEM,67113,,67113,,33557,,33557,,N,,23988,11253
00213007,Boston University,2023,PRI,SEM,65020,,65020,,32510,,32510,,N,21528,21528,14934
00215510,Harvard University,2023,PRI,SEM,75008,,75008,,37504,,37504,,N,35922,35922,35922
00219900,Northeastern University,2023,PRI,SEM,60566,45444,60566,45444,30283,22722,30283,22722,N,22900,22900,11580
00221007,University of Massachusetts Dartmouth,2023,PUB,SEM,31140,,40422,,15570,,20211,,N,22708,32204,21930
00221810,Suffolk University,2023,PRI,SEM,57748,43216,57748,43216,28874,21608,28874,21608,N,,30811,21287
00222600,Western New England University,2023,PRI,SEM,49470,36550,49470,36550,24735,18275,24735,18275,N,19930,19930,19930
00225400,Michigan State University,2023,PUB,SEM,41424,,45984,,20712,,22992,,N,22130,22130,22130
00232300,University of Detroit Mercy,2023,PRI,SEM,47239,37406,47239,37406,23620,18703,23620,18703,N,,21506,
00232503,University of Michigan,2023,PUB,SEM,69584,,72584,,34792,,36292,,N,24364,24364,24364
00232902,Wayne State University,2023,PUB,SEM,38135,20670,41588,22512,19068,10335,20794,11256,N,24478,24478,13162
00234500,University of St. Thomas (Minnesota),2023,PRI,SEM,48379,,48379,,24190,,24190,,N,25334,25334,25334
00239101,Mitchell Hamline School of Law,2023,PRI,SEM,52620,38280,52620,38280,26310,19140,26310,19140,N,21456,21456,21456
00241501,Mississippi College,2023,PRI,SEM,38202,,38202,,19101,,19101,,Y,23325,23325,23325
00244000,University of Mississippi,2023,PUB,SEM,18770,,39180,,9385,,19590,,N,22300,22300,22300
00250609,Saint Louis University,2023,PRI,SEM,48814,35530,48814,35530,24407,17765,24407,17765,N,22100,22100,18660
00251600,University of Missouri,2023,PUB,SEM,23877,,29877,,11939,,14939,,N,19184,19184,19184
00251800,University of Missouri-Kansas City,2023,PUB,SEM,23774,,24374,,11887,,12187,,N,22303,20084,7026
00252000,Washington University,2023,PRI,SEM,67814,,67814,,33907,,33907,,N,,26076,
00253600,University of Montana,2023,PUB,SEM,22060,,47794,,11030,,23897,,N,26644,26644,26644
00254200,Creighton University,2023,PRI,SEM,48936,,48936,,24468,,24468,,N,27810,27810,27810
