schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00189200,University of Iowa,2023,2022,93,51,42,0,0,18,47,23,24,0,0,10,46,28,18,0,0,8,13,13,0,,,
00194800,University of Kansas,2023,2022,74,43,31,0,0,12,28,15,13,0,0,4,46,28,18,0,0,8,3,3,0,,,
00194900,Washburn University,2023,2022,59,32,27,0,0,11,32,16,16,0,0,5,27,16,11,0,0,6,6,6,0,,,
00198903,University of Kentucky,2023,2022,74,42,31,1,0,5,30,18,12,0,0,1,44,24,19,1,0,4,4,4,0,,,
00199900,University of Louisville,2023,2022,58,31,27,0,0,11,28,12,16,0,0,6,30,19,11,0,0,5,5,4,1,,,
00201000,Louisiana State University,2023,2022,103,59,44,0,0,14,38,19,19,0,0,3,65,40,25,0,0,11,8,8,0,,,
00201600,Loyola University-New Orleans,2023,2022,95,61,34,0,0,27,45,24,21,0,0,17,50,37,13,0,0,10,4,4,0,,,
00202500,Southern University,2023,2022,130,63,67,0,0,91,69,32,37,0,0,44,61,31,30,0,0,47,5,4,1,,,
00202900,Tulane University,2023,2022,123,81,42,0,0,14,54,29,25,0,0,8,69,52,17,0,0,6,4,4,0,,,
00205400,University of Maine,2023,2022,79,50,29,0,0,9,23,12,11,0,0,2,56,38,18,0,0,7,3,3,0,,,
00210200,University of Baltimore,2023,2022,163,84,75,0,4,22,56,28,28,0,0,11,107,56,47,0,4,11,5,5,0,,,
00210400,University of Maryland,2023,2022,194,113,81,0,0,38,61,30,31,0,0,18,133,83,50,0,0,20,13,12,1,,,
00212801,Boston College,2023,2022,213,124,89,0,0,42,76,39,37,0,0,25,137,85,52,0,0,17,11,11,0,,,
